MissionID,MissionDate,TheaterOfOperations,Country,AirForce,AircraftSeries,Callsign,TakeoffBase,TakeoffLocation,TakeoffLatitude,TakeoffLongitude,TargetCountry,TargetCity,TargetType,TargetIndustry,TargetLatitude,TargetLongitude,AirborneAircraft,AttackingAircraft,BombingAircraft,AircraftReturned,AircraftFailed,AircraftDamaged,AircraftLost,HighExplosives,HighExplosivesType,HighExplosivesWeight_Pounds_,HighExplosivesWeight_Tons_,IncendiaryDevices,IncendiaryDevicesType,IncendiaryDevicesWeight_Pounds_,IncendiaryDevicesWeight_Tons_,FragmentationDevices,FragmentationDevicesType,FragmentationDevicesWeight_Pounds_,FragmentationDevicesWeight_Tons_,TotalWeight_Pounds_,TotalWeight_Tons_,TimeOverTarget,BombDamageAssessment,SourceID
1,15-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"SPADAFORA","",,38.22,15.37,20,NaN,20,NaN,NaN,NaN,NaN,40,500 LB GP (GP-M43/M64),NaN,10,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,10,NaN,NaN,NaN
3,15-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"COSENZA","",,39.27,16.25,18,NaN,36,NaN,NaN,NaN,NaN,36,500 LB GP (GP-M43/M64),NaN,9,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,9,NaN,NaN,NaN
4,15-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"GIOJA TAURO","",,38.43,15.9,15,NaN,15,NaN,1,NaN,NaN,30,500 LB GP (GP-M43/M64),NaN,7.5,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,7.5,NaN,NaN,NaN
9,15-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"SCILLA","",,38.23,15.72,0,NaN,NaN,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,0,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,0,NaN,NaN,NaN
10,15-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"GIOJA TAURO","",ARMAMENT AND ORDNANCE PLANTS,38.43,15.9,0,NaN,NaN,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,0,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,0,NaN,NaN,NaN
96,16-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"VILLA SAN GIOVANNI","",,38.2,15.65,32,NaN,32,NaN,NaN,NaN,NaN,64,500 LB GP (GP-M43/M64),NaN,16,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,16,NaN,NaN,NaN
302,16-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"COSENZA","",,39.27,16.25,4,NaN,8,NaN,NaN,NaN,NaN,8,500 LB GP (GP-M43/M64),NaN,2,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,2,NaN,NaN,NaN
645,17-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"COSENZA","",,39.27,16.25,8,NaN,16,NaN,NaN,NaN,NaN,16,500 LB GP (GP-M43/M64),NaN,4,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,4,NaN,NaN,NaN
646,17-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"LA SPEZIA","",,44.1,9.83,6,NaN,12,NaN,NaN,NaN,NaN,12,500 LB GP (GP-M43/M64),NaN,3,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,3,NaN,NaN,NaN
647,17-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"LAMEZIA","",,38.92,16.25,6,NaN,12,NaN,NaN,NaN,NaN,12,500 LB GP (GP-M43/M64),NaN,3,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,3,NaN,NaN,NaN
